player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Xavier Toliver,154606,S,HOUCHR,11,78,9.8,7.8,183,1,60.4,8,10,0,80,43,1.03
Thabo Mwaniki,60729,S,HOUSTON,8,39,9.8,7.8,182,0,90.8,4,5,0,29,9,0.74
Danny Stutsman,144632,LB,OKLAHOMA,10,59,9.8,6.6,261,0,71.5,6,9,0,30,25,0.51
DQ Smith,158116,CB,S CAROLINA,11,215,9.8,4.8,289,1,66.3,22,45,1,274,123,1.27
Peter Manuma,158178,S,HAWAII,12,88,9.8,5.2,180,0,88.4,9,17,1,92,53,1.05
Jalen Barr,64388,S,SCAR STATE,8,78,9.8,6.0,290,0,106.3,8,13,1,85,27,1.09
Avarion Cole,150570,S,NC A&T,10,49,9.8,8.2,246,0,149.3,5,6,1,62,35,1.27
Nikai Martinez,158447,CB,UCF,10,98,9.8,6.1,323,0,78.1,10,16,0,92,81,0.94
Da'Veawn Armstead,144700,CB,SM HOUSTON,8,78,9.8,6.0,281,1,99.0,8,13,1,172,102,2.21
Ronald Delancy III,129686,CB,TOLEDO,5,39,9.8,7.8,316,0,105.0,4,5,0,46,20,1.18
CJ Brown,148718,LB,COLUMBIA,9,128,9.8,7.5,145,0,100.4,13,17,0,141,157,1.1
Garrett Morris,109227,S,PENN,10,196,9.8,6.5,267,1,71.1,20,30,1,117,73,0.6
Artest Banks,151558,CB,CENT CT ST,10,167,9.8,5.8,133,0,75.8,17,29,0,173,72,1.04
Kourtlan Marsh,139078,S,SAMFORD,11,147,9.8,4.9,282,0,82.5,15,30,1,199,61,1.35
Rod Heard II,97237,S,NWESTERN,11,165,9.7,6.9,256,0,151.6,17,24,3,293,197,1.78
D'Marco Augustin,105925,CB,YNGTOWN ST,11,203,9.7,7.5,353,0,105.7,21,27,0,253,110,1.25
James Herring,109296,S,HARVARD,10,58,9.7,5.8,179,0,76.3,6,10,0,58,37,1.0
Miles Williams,100382,CB,CAL,5,97,9.7,6.1,130,0,81.0,10,16,0,103,52,1.06
Darius Joiner,63618,S,DUKE,8,29,9.7,7.3,154,0,83.3,3,4,0,18,6,0.62
Caine Savage,131876,CB,UTAH,5,29,9.7,5.8,328,0,77.1,3,5,0,30,21,1.03
Jude Joseph,102662,LB,IDAHO ST,7,29,9.7,9.7,186,0,118.1,3,3,0,37,9,1.28
Marquis Britten,55604,CB,GRAMBLING,4,29,9.7,4.8,177,0,77.8,3,6,0,49,9,1.69
Brandon Hill,99742,S,PITTSBURGH,11,135,9.6,5.9,268,0,78.5,14,23,0,142,84,1.05
