"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"81","James Washington","DAL",3000,0,0.9,52.3,NA,0.5,0,NA,"PHI",2,4,0,0,0,18,14,2,0.263,7,8,0.737,90,0,63.08,77.7,5,-0.095,0,NA,"James Washington 3000 0"
"82","Danny Gray","SF",3000,0.05,0.84,50,NA,0.7,0.42,NA,"WAS",12,5,1.67,1.67,0,10,23,7,0.303,9,11,0.697,96,24,66.01,64.46,3,0.013,0,4,"Danny Gray 3000 0.05"
"83","Kirk Merritt","NO",3000,0.01,0.7,NA,NA,NA,NA,NA,"CLE",5,20,NA,NA,NA,23,10,NA,0.236,13,NA,0.764,NA,NA,NA,NA,21,-0.074,NA,NA,"Kirk Merritt 3000 0.01"
"84","Racey McMath","TEN",3000,0.03,0.54,48.2,NA,3,0.04,NA,"HOU",22,32,0,0,0,25,8,5,0.234,27,18,0.766,96.6,10.3,NA,NA,30,0.089,0,4,"Racey McMath 3000 0.03"
"85","Marcus Johnson","NYG",3000,0.03,0.51,50.7,NA,1.3,0.44,NA,"MIN",29,26,0.0599999999999999,0.58,0.52,28,5,38,0.21,1,90,0.79,92.9,10.3,56.6,71.44,17,0.138,0,4.2,"Marcus Johnson 3000 0.03"
"86","Rashard Higgins","CAR",3000,0.03,0.27,NA,NA,NA,NA,NA,"DET",26,30,NA,NA,NA,2,31,NA,0.447,22,NA,0.553,NA,NA,57.41,49.4,31,0.132,NA,NA,"Rashard Higgins 3000 0.03"
"87","Kenny Golladay","NYG",3300,0.04,0.16,51.7,NA,1.1,0.5,NA,"MIN",29,26,-0.82,0,0.82,28,5,39,0.21,1,68,0.79,89.6,12.2,56.6,71.44,17,0.138,0,2.8,"Kenny Golladay 3300 0.04"
"88","Jalen Nailor","MIN",3000,0.02,0.15,73.3,NA,1,2.55,NA,"NYG",25,32,NA,NA,1.67,1,32,0,0.519,18,9,0.481,100,27.3,53.45,62.92,32,0.12,0,3,"Jalen Nailor 3000 0.02"
"89","Cole Beasley","BUF",3700,0.03,0.09,62.7,NA,2,1.53,NA,"CHI",32,20,-0.0600000000000001,1.5,1.56,16,18,9,0.284,23,9,0.716,85,90,56.62,58.36,19,0.233,0,2.2,"Cole Beasley 3700 0.03"
"90","Dax Milne","WAS",3000,0.03,0.09,61,NA,0.6,1.09,NA,"SF",6,2,-0.13,1.11,1.24,30,3,10,0.208,8,18,0.792,94.4,52.8,65.46,69.15,2,-0.059,1,2.3,"Dax Milne 3000 0.03"
"91","T.Y. Hilton","DAL",3200,0.04,0.08,NA,NA,NA,NA,NA,"PHI",2,4,NA,NA,NA,18,14,NA,0.263,7,NA,0.737,NA,NA,63.08,77.7,5,-0.095,NA,NA,"T.Y. Hilton 3200 0.04"
"92","Trent Taylor","CIN",3000,0.02,0.08,53.7,NA,1.1,0.78,NA,"NE",9,12,-0.85,0.29,1.14,4,29,19,0.425,15,53,0.575,90.8,86.2,65.16,64,10,-0.021,0,7,"Trent Taylor 3000 0.02"
"93","Cam Sims","WAS",3000,0.02,0.08,49,NA,1.1,0.43,NA,"SF",6,2,-0.1,0.31,0.41,30,3,40,0.208,8,109,0.792,96.6,22.4,65.46,69.15,2,-0.059,0,3.1,"Cam Sims 3000 0.02"
